158,Usman Garuba,PF,20,HOU,3,4.1,0.9,0.4,0.6
453,Jabari Smith Jr.,PF,19,HOU,12.8,7.2,1.3,0.9,0.5
245,James Johnson,PF,35,IND,2.8,1.7,0.8,0.3,0.4
454,Jalen Smith,PF,22,IND,9.4,5.8,1,0.9,0.3
33,Nicolas Batum,PF,34,LAC,6.1,3.8,1.6,0.6,0.7
102,Robert Covington,PF,32,LAC,6,3.5,1.2,0.7,0.8
118,Moussa Diabat�,PF,21,LAC,2.7,2.3,0.2,0.4,0.3
347,Marcus Morris,PF,33,LAC,11.2,4,1.8,0.3,0.6
155,Wenyen Gabriel,PF,25,LAL,5.5,4.2,0.5,0.5,0.4
239,LeBron James,PF,38,LAL,28.9,8.3,6.8,0.6,0.9
5,Santi Aldama,PF,22,MEM,9,4.8,1.3,0.6,0.6
92,Brandon Clarke,PF,26,MEM,10,5.5,1.3,0.7,0.6
282,Jake LaRavia,PF,21,MEM,3,1.8,0.6,0.1,0.3
295,Kenneth Lofton Jr.,PF,20,MEM,5,2.1,0.8,0.1,0.2
420,David Roddy,PF,21,MEM,6.7,2.8,0.8,0.3,0.4
474,Xavier Tillman Sr.,PF,24,MEM,7,5,1.6,0.5,1
259,Nikola Jovi?,PF,19,MIA,5.5,2.1,0.7,0.1,0.5
309,Caleb Martin,PF,27,MIA,9.6,4.8,1.6,0.4,1
11,Giannis Antetokounmpo,PF,28,MIL,31.1,11.8,5.7,0.8,0.8
392,Bobby Portis,PF,27,MIL,14.1,9.6,1.5,0.2,0.4
10,Kyle Anderson,PF,29,MIN,9.4,5.3,4.9,0.9,1.1
270,Nathan Knight,PF,25,MIN,3.7,1.5,0.3,0.2,0.3
478,Karl-Anthony Towns,PF,27,MIN,20.8,8.1,4.8,0.6,0.7
356,Larry Nance Jr.,PF,30,NOP,6.8,5.4,1.8,0.6,0.9
527,Zion Williamson,PF,22,NOP,26,7,4.6,0.6,1.1
405,Julius Randle,PF,28,NYK,25.1,10,4.1,0.3,0.6
476,Obi Toppin,PF,24,NYK,7.4,2.8,1,0.2,0.3
387,Aleksej Pokusevski,PF,21,OKC,8.1,4.7,1.9,1.3,0.6
418,Jeremiah Robinson-Earl,PF,22,OKC,6.8,4.2,1,0.3,0.6
519,Jaylin Williams,PF,20,OKC,5.9,4.9,1.6,0.2,0.6
521,Kenrich Williams,PF,28,OKC,8,4.9,2,0.3,0.8
23,Paolo Banchero,PF,20,ORL,20,6.9,3.7,0.5,0.8
47,Bol Bol,PF,23,ORL,9.1,5.8,1,1.2,0.4
231,Jonathan Isaac,PF,25,ORL,5,4,0.5,0.4,1.3
433,Admiral Schofield,PF,25,ORL,4.2,1.7,0.8,0.1,0.2
151,Michael Foster Jr.,PF,20,PHI,0,0,0,0,0
197,Tobias Harris,PF,30,PHI,14.7,5.7,2.5,0.5,0.9
360,Georges Niang,PF,29,PHI,8.2,2.4,1,0.2,0.4
480,P.J. Tucker,PF,37,PHI,3.5,3.9,0.8,0.2,0.5
63,Greg Brown III,PF,21,POR,1.8,1.2,0.2,0.3,0.3
