Rk;Player;Pos;Age;Tm;PTS;TRB;AST;BLK;STL
87;Julian Champagnie;SF;21;SAS;11;4;0.7;0.3;0.3
88;Justin Champagnie;SF;21;TOT;2.2;1.6;0.8;0;0.2
88;Justin Champagnie;SF;21;TOR;2;1.3;0.3;0;0
88;Justin Champagnie;SF;21;BOS;2.5;2;1.5;0;0.5
89;Kennedy Chandler;PG;20;MEM;2.2;1.1;1.6;0.1;0.3
90;Max Christie;SG;19;LAL;3.1;1.8;0.5;0.2;0.2
91;Josh Christopher;SG;21;HOU;5.8;1.1;1.1;0.2;0.5
92;Brandon Clarke;PF;26;MEM;10;5.5;1.3;0.7;0.6
93;Jordan Clarkson;SG;30;UTA;20.8;4;4.4;0.2;0.5
94;Nic Claxton;C;23;BRK;12.6;9.2;1.9;2.5;0.9
95;Amir Coffey;SG;25;LAC;3.4;1.1;1.1;0.1;0.1
96;John Collins;PF;25;ATL;13.1;6.5;1.2;1;0.6
97;Zach Collins;C;25;SAS;11.6;6.4;2.9;0.8;0.6
98;Chance Comanche;C;26;POR;7;3;0;1;0
99;Mike Conley;PG;35;TOT;11.9;2.7;6.7;0.2;1.1
99;Mike Conley;PG;35;UTA;10.7;2.5;7.7;0.2;1
99;Mike Conley;PG;35;MIN;14;3.1;5;0.2;1.2
100;Pat Connaughton;SG;30;MIL;7.6;4.6;1.3;0.2;0.6
101;Xavier Cooks;PF;27;WAS;3.8;3.8;0.6;0.4;0.6
102;Robert Covington;PF;32;LAC;6;3.5;1.2;0.7;0.8
103;Torrey Craig;SF;32;PHO;7.4;5.4;1.5;0.8;0.6
104;Jae Crowder;SF;32;MIL;6.9;3.8;1.5;0.3;0.7
105;Jarrett Culver;SG;23;ATL;4.4;3.8;0.6;0.2;0.6
106;Cade Cunningham;PG;21;DET;19.9;6.2;6;0.6;0.8
107;Seth Curry;SG;32;BRK;9.2;1.6;1.6;0.1;0.6
108;Stephen Curry;PG;34;GSW;29.4;6.1;6.3;0.4;0.9
109;Dyson Daniels;PG;19;NOP;3.8;3.2;2.3;0.2;0.7
110;Anthony Davis;C;29;LAL;25.9;12.5;2.6;2;1.1
111;Johnny Davis;SG;20;WAS;5.8;2.3;1;0.3;0.4
112;Terence Davis;SG;25;SAC;6.7;2.2;1;0.2;0.7
113;JD Davison;PG;20;BOS;1.6;0.8;0.9;0.2;0.2
114;Darius Days;PF;23;HOU;3.8;1.5;0.3;0.3;0
115;Dewayne Dedmon;C;33;TOT;5.2;3.5;0.7;0.5;0.2
115;Dewayne Dedmon;C;33;MIA;5.7;3.6;0.5;0.5;0.2
115;Dewayne Dedmon;C;33;PHI;3.5;3.1;1.3;0.6;0.3
116;Matthew Dellavedova;PG;32;SAC;1.5;0.4;1.3;0;0.2
117;DeMar DeRozan;SF;33;CHI;24.5;4.6;5.1;0.5;1.1
118;Moussa Diabat�;PF;21;LAC;2.7;2.3;0.2;0.4;0.3
